Title,Author,URL
Elon Musk Announces New Ninja Branch of DOGE,Jake Felsen,https://chicagoshadydealer.com/index.php/2025/04/13/elon-musk-announces-new-ninja-branch-of-doge/
America Withdraws Support for South Korea in Exchange for Golf Course in Pyongyang,Vivian Psylos,https://chicagoshadydealer.com/index.php/2025/04/12/america-withdraws-support-for-south-korea-in-exchange-for-golf-course-in-pyongyang/
Recent Study Shows Ominous Whistling in Hallway Growing Steadily Closer,Jake Felsen,https://chicagoshadydealer.com/index.php/2025/04/11/recent-study-shows-ominous-whistling-in-hallway-growing-steadily-closer/
Point: Your Argument Isn’t Supported in the Data/ Counterpoint: I Know So Many More Latin Phrases than You,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/04/10/point-your-argument-isnt-supported-in-the-data-counterpoint-i-know-so-many-more-latin-phrases-than-you/
Quantum Mechanics Final to Be Held in One of Seven Locations,Alasdair Greenland,https://chicagoshadydealer.com/index.php/2025/04/09/quantum-mechanics-final-to-be-held-in-one-of-seven-locations/
Supreme Court Overturns Measles Vaccine v. Measles,Alasdair Greenland,https://chicagoshadydealer.com/index.php/2025/04/08/supreme-court-overturns-measles-vaccine-v-measles/
"Elon Musk Singing Sad Songs, Playing Guitar Outside of Former Federal Employees’ Windows",Jacob Halabe,https://chicagoshadydealer.com/index.php/2025/04/07/elon-musk-singing-sad-songs-playing-guitar-outside-of-former-federal-employees-windows/
Oregano Prices Skyrocket as Americans Simultaneously Hit with Overwhelming Craving for Oregano,Lena Birkholz,https://chicagoshadydealer.com/index.php/2025/04/06/oregano-prices-skyrocket-as-americans-simultaneously-hit-with-overwhelming-craving-for-oregano/
How to Deal With Writer’s Block: A Shady Guide,Justin Bilenker,https://chicagoshadydealer.com/index.php/2025/04/05/how-to-deal-with-writers-block-a-shady-guide/
"After Seeing Trump’s Shitshow, Democrats Attempt to Resurrect Jimmy Carter for 2028",Vivian Psylos,https://chicagoshadydealer.com/index.php/2025/04/04/after-seeing-trumps-shitshow-democrats-attempt-to-resurrect-jimmy-carter-for-2028/
Dog Couple Discuss Getting Neutered in Light of Political Climate,Katherine Reynolds,https://chicagoshadydealer.com/index.php/2025/04/02/dog-couple-discuss-getting-neutered-in-light-of-political-climate/
"Student From California Confused by Cold Weather, Assumes Snow Is Ash from Nearby Wildfire",Audrey Smith,https://chicagoshadydealer.com/index.php/2025/04/01/student-from-california-confused-by-cold-weather-assumes-snow-is-ash-from-nearby-wildfire/
RFK Jr. Declares That Snow Can Cause ADHD,Vivian Psylos,https://chicagoshadydealer.com/index.php/2025/03/30/rfk-jr-declares-that-snow-can-cause-adhd/
“Could You Clarify What You Mean by That?” Asks Professor Who Hates You,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/03/29/could-you-clarify-what-you-mean-by-that-asks-professor-who-hates-you/
5 Things to Bean at Your Frat Pledges Instead of Eggs,Justin Bilenker,https://chicagoshadydealer.com/index.php/2025/03/28/5-things-to-bean-at-your-frat-pledges-instead-of-eggs/
"UChicago Acceptance Rate Falls Below 0%, Current Students Must Reapply",Audrey Smith,https://chicagoshadydealer.com/index.php/2025/03/27/uchicago-acceptance-rate-falls-below-0-current-students-must-reapply/
Trump in Talks to Buy Atlantis from Aquaman,Chase Teichholz,https://chicagoshadydealer.com/index.php/2025/03/26/trump-in-talks-to-buy-atlantis-from-aquaman/
Scientists Admit Smoking Not Actually Bad for You: “We Just Wanted Attention”,Griffin Bonnin Jones,https://chicagoshadydealer.com/index.php/2025/03/25/scientists-admit-smoking-not-actually-bad-for-you-we-just-wanted-attention/
"Another Woke Liberal Lie, Dining Hall French Fry Not Actually French",Michael Wagner,https://chicagoshadydealer.com/index.php/2025/03/24/another-woke-liberal-lie-dining-hall-french-fry-not-actually-french/
